NFIREID,Unchanged to very low,Low,Moderate,High,Post-fire havest,NoData
482,35.01,9,89.1,192.51,47.88,0.09
483,859.32,8066.97,6547.41,9250.83,0,0.27
484,40.5,11.34,90,146.61,28.26,0
485,736.02,296.55,3912.12,378.9,631.53,0.27
486,397.53,72.45,254.43,255.06,185.76,42.84
487,409.41,53.73,250.11,312.03,92.88,0.09
488,112.23,21.24,592.47,56.79,0,0.18
489,140.4,49.23,307.62,724.59,50.67,32.04
490,176.94,40.59,436.5,350.55,9.81,0.18
491,328.68,894.51,409.77,607.41,255.6,0.18
492,25.56,13.41,78.39,80.82,57.87,3.51
493,1635.75,6766.92,2073.96,2450.43,344.07,988.02
494,104.4,29.52,175.14,88.29,24.66,23.04
495,279.27,28.71,290.43,151.02,51.75,0
496,652.95,2202.57,955.53,1874.61,139.23,0.09
497,395.55,99.54,744.48,486.72,155.43,166.23
498,18.9,8.1,55.17,174.69,38.97,1.17
499,1457.55,1130.4,5482.08,7183.44,186.3,0
500,155.61,691.47,857.25,1167.48,0,0
501,137.07,37.53,747,235.89,240.66,364.77
502,43.47,5.04,83.97,135.09,1.62,14.13
503,363.15,92.61,760.32,472.95,88.65,0.18
504,4202.1,31427.73,6303.6,6280.29,0,8.73
505,530.46,219.96,1675.08,2349.18,837.45,0.09
506,238.41,64.17,3989.61,1281.69,1872.63,829.98
507,45.72,15.48,136.89,126.99,59.58,2.52
508,4479.21,1572.21,12994.29,11143.44,1033.29,0.36
509,69.48,13.32,70.56,54.99,0,0.09
510,264.24,130.59,605.16,575.19,51.21,0
511,31.05,71.46,125.55,209.79,1.44,0.09
512,1096.38,304.2,1567.08,2823.48,303.75,0.18
513,152.91,222.03,929.34,615.78,245.43,0
514,87.75,143.1,58.05,146.97,233.37,0.18
515,352.71,81.27,819.54,835.83,1.89,0.09
516,1953.81,852.39,5958.54,9171,1490.76,0.09
517,5738.31,1064.97,25084.98,4531.86,546.3,0.18
518,1809.36,5137.2,5245.65,15674.85,0,0.18
519,3086.37,1118.16,3322.62,2879.82,207.45,0.09
520,85.59,76.77,394.11,183.06,75.51,0.09
521,575.91,516.69,3071.43,1317.6,275.85,0
522,786.42,372.15,2644.56,1344.42,480.78,8.91
523,67.86,178.92,1804.32,489.24,0,0.27
524,238.68,188.37,556.11,13.05,0,0.18
525,63.63,91.17,343.8,30.96,0,0.09
526,124.2,129.87,97.83,433.8,0,0.09
527,84.51,168.12,923.85,87.48,0,0
528,1088.37,2748.96,12673.17,1772.19,0,1.17
529,808.83,1176.84,6387.12,869.4,0,43.2
530,1398.6,252.99,2089.8,852.39,152.64,292.32
531,252.99,455.67,1505.97,70.38,0,0.09
532,55.98,68.94,268.83,23.22,0,0.18
533,1723.05,3540.96,12769.65,1733.67,0,0.18
534,105.21,171.54,732.78,79.29,0,0.09
535,2410.2,5315.31,56153.07,11119.5,0,0
536,42.57,125.64,616.5,27.81,0,0.09
537,214.83,82.08,103.41,269.28,0,0
538,18.36,53.91,365.04,19.8,0,0.09
539,1153.8,5903.55,2217.42,3520.98,322.29,3.87
