Y,X,fid,YEAR,NFIREID,BASRC,FIREMAPS,FIREMAPM,FIRECAUS,HS_SDATE,HS_EDATE,AG_SDATE,AG_EDATE,CAPDATE,POLY_HA,ADJ_HA,ADJ_FLAG,ADMIN_AREA,NATPARK,PRESCRIBED,VERSION,GID,dc_median,bui_median,unit_id
55.1591019080377,-96.8623665512822,"591",2023,115,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/24,2023/06/24,2023/06/24,,2023/07/31,89.9348558062,89.9348558062,,MB,,,"20240530",2023_115,176.363007,53.855999,"22"
56.4691666682684,-99.905555552779,"592",2023,1095,Agency,Aerial survey,Buffered points,Human,,,2023/06/21,,2023/06/22,0.99565114823,1.25252344583,true,MB,,,"20240530",2023_1095,,,"22"
56.7977777794932,-100.612222228847,"593",2023,1080,Agency,Aerial survey,Buffered points,Human,,,2023/05/06,,2023/05/07,0.19909807364,0.26651343686,true,MB,,,"20240530",2023_1080,,,"22"
54.8641666688847,-98.260833331248,"594",2023,1118,Agency,Aerial survey,Buffered points,Natural,,,2023/08/12,,2023/08/16,0.19913443651,0.26656023396,true,MB,,,"20240530",2023_1118,,,"22"
54.9000000004894,-97.8722222179923,"595",2023,1102,Agency,Aerial survey,Buffered points,Natural,,,2023/07/02,,2023/07/18,0.09955993733,0.13688330142,true,MB,,,"20240530",2023_1102,,,"22"
54.7850000029915,-97.9577777705329,"596",2023,1114,Agency,Aerial survey,Buffered points,Natural,,,2023/08/11,,2023/08/16,0.09956174035,0.13688568471,true,MB,,,"20240530",2023_1114,,,"22"
54.9658333336534,-98.4705555504614,"597",2023,1094,Agency,Aerial survey,Buffered points,Natural,,,2023/06/20,,2023/06/23,0.29870973349,0.3936436036,true,MB,,,"20240530",2023_1094,,,"22"
56.7599909173021,-100.555435706378,"598",2023,426,MAFiMS,Landsat,Processed imagery,Natural,,,2023/07/01,,2023/07/22,58.3194906627,58.3194906627,,MB,,,"20240530",2023_426,,,"22"
57.1199150712737,-100.682553028813,"599",2023,414,MAFiMS,Sentinel-2,Processed imagery,Natural,,,2023/06/12,,2023/07/22,22.2945490416,22.2945490416,,MB,,,"20240530",2023_414,,,"22"
56.7443369237372,-100.519780460368,"600",2023,425,MAFiMS,Sentinel-2,Processed imagery,Natural,,,2023/07/01,,2023/07/22,3.6067769281,3.6067769281,,MB,,,"20240530",2023_425,,,"22"
55.023333337594,-98.062777772176,"601",2023,1115,Agency,Aerial survey,Buffered points,Natural,,,2023/08/11,,2023/08/16,1.99127891217,2.43890743021,true,MB,,,"20240530",2023_1115,,,"22"
54.8391666711717,-98.5013888836686,"602",2023,1112,Agency,Aerial survey,Buffered points,Natural,,,2023/08/02,,2023/08/05,0.99570212943,1.25258510513,true,MB,,,"20240530",2023_1112,,,"22"
55.0647222228772,-97.9736111094062,"603",2023,1116,Agency,Aerial survey,Buffered points,Natural,,,2023/08/11,,2023/08/27,2.489055468,3.02244695091,true,MB,,,"20240530",2023_1116,,,"22"
